NrFeat,Model,Step,train.isOptimal,validation.isOptimal,test.isOptimal
1,1,65,0.8375,0.8500,0.8291
1,1,66,0.8542,0.8167,0.8492
1,1,67,0.8458,0.8333,0.8693
1,1,68,0.8250,0.8667,0.9045
1,1,69,0.8375,0.8333,0.9246
1,1,70,0.8083,0.8333,0.9246
1,1,71,0.8125,0.8000,0.9347
1,1,72,0.8042,0.8167,0.9146
1,1,73,0.8125,0.8333,0.9146
1,1,74,0.8417,0.8167,0.9045
1,1,75,0.8750,0.7667,0.8945
1,1,76,0.8708,0.8000,0.8693
1,1,77,0.8500,0.8333,0.8744
1,1,78,0.8333,0.8833,0.8643
1,1,79,0.8542,0.8833,0.8342
1,1,80,0.8208,0.8667,0.8291
1,1,81,0.8208,0.8833,0.8492
1,1,82,0.8375,0.8833,0.8442
1,1,83,0.8500,0.8667,0.8643
1,1,84,0.8750,0.8500,0.8593
1,1,85,0.8792,0.8833,0.8442
1,1,86,0.9000,0.8833,0.8643
1,1,87,0.9125,0.8667,0.8543
1,1,88,0.8917,0.8667,0.8894
1,1,89,0.8875,0.8500,0.8945
1,1,90,0.8875,0.9500,0.9095
1,1,91,0.9000,0.9333,0.9045
1,1,92,0.9042,0.9500,0.8693
1,1,93,0.9125,0.9500,0.8995
1,1,94,0.9083,0.9667,0.9347
1,1,95,0.8958,0.9333,0.9447
1,1,96,0.9250,0.9500,0.9447
1,1,97,0.9625,0.9500,0.9598
1,1,98,0.9750,0.9667,0.9698
1,1,99,0.9958,0.9833,0.9950
1,1,100,1.0000,1.0000,1.0000
1,2,1,0.7583,0.7167,0.6884
1,2,2,0.6250,0.5833,0.5628
1,2,3,0.5417,0.4333,0.5126
1,2,4,0.5083,0.4667,0.4874
1,2,5,0.5500,0.4833,0.5176
1,2,6,0.5750,0.6333,0.5226
1,2,7,0.6583,0.6667,0.5477
1,2,8,0.6625,0.7333,0.6683
1,2,9,0.6625,0.7667,0.6633
1,2,10,0.7125,0.7000,0.7136
1,2,11,0.6625,0.6833,0.6985
1,2,12,0.6417,0.6833,0.6884
1,2,13,0.6375,0.6667,0.6935
1,2,14,0.7208,0.7000,0.7035
1,2,15,0.7208,0.6333,0.6985
1,2,16,0.7000,0.7000,0.7588
1,2,17,0.6875,0.7167,0.6985
1,2,18,0.6792,0.6833,0.6633
1,2,19,0.7292,0.7000,0.6583
1,2,20,0.7042,0.7500,0.6985
1,2,21,0.7417,0.7333,0.6985
1,2,22,0.7875,0.7333,0.7588
1,2,23,0.7500,0.7333,0.7638
1,2,24,0.7208,0.7000,0.7487
1,2,25,0.7458,0.7000,0.7286
1,2,26,0.7708,0.6167,0.7638
1,2,27,0.7875,0.6000,0.8141
1,2,28,0.8042,0.7000,0.7085
1,2,29,0.8083,0.7000,0.7387
1,2,30,0.7625,0.7333,0.7688
1,2,31,0.7417,0.6500,0.7739
1,2,32,0.7708,0.6833,0.7136
1,2,33,0.7333,0.7833,0.7538
1,2,34,0.7208,0.7500,0.7487
1,2,35,0.7500,0.7167,0.7638
1,2,36,0.7625,0.7333,0.7437
1,2,37,0.7792,0.6833,0.7638
1,2,38,0.7750,0.7500,0.7236
1,2,39,0.7583,0.7833,0.7387
1,2,40,0.7458,0.8500,0.7789
1,2,41,0.7375,0.8333,0.8141
1,2,42,0.7250,0.7167,0.7940
1,2,43,0.7167,0.6333,0.7638
1,2,44,0.7083,0.7333,0.7538
1,2,45,0.7333,0.7833,0.7588
1,2,46,0.7125,0.7000,0.7437
1,2,47,0.7167,0.7000,0.7337
1,2,48,0.7417,0.7667,0.7688
1,2,49,0.6958,0.7667,0.7387
1,2,50,0.7417,0.8000,0.7839
1,2,51,0.7667,0.7667,0.7638
1,2,52,0.7625,0.7667,0.7789
1,2,53,0.7917,0.7167,0.7487
1,2,54,0.7292,0.6500,0.6784
1,2,55,0.7417,0.6333,0.7286
1,2,56,0.7583,0.6500,0.7688
1,2,57,0.7750,0.6833,0.7839
1,2,58,0.7792,0.7167,0.7236
1,2,59,0.7583,0.7333,0.7186
1,2,60,0.7750,0.6833,0.7286
1,2,61,0.7417,0.7000,0.7487
1,2,62,0.7500,0.6500,0.7688
1,2,63,0.7958,0.7000,0.7739
1,2,64,0.7667,0.7167,0.7538
1,2,65,0.7708,0.6833,0.7839
1,2,66,0.7625,0.7000,0.8090
1,2,67,0.7917,0.7333,0.7739
1,2,68,0.8208,0.8500,0.7739
1,2,69,0.7792,0.7667,0.7739
1,2,70,0.7542,0.8000,0.7538
1,2,71,0.7792,0.7667,0.7538
1,2,72,0.7292,0.8167,0.7789
1,2,73,0.7333,0.8167,0.7688
1,2,74,0.8000,0.8333,0.7739
1,2,75,0.7833,0.7833,0.7940
1,2,76,0.7625,0.7333,0.7688
1,2,77,0.7667,0.8167,0.7538
1,2,78,0.7958,0.7333,0.7990
1,2,79,0.7833,0.8167,0.8191
1,2,80,0.7333,0.8833,0.7889
1,2,81,0.8000,0.9000,0.8141
1,2,82,0.7875,0.9000,0.7940
1,2,83,0.7917,0.8167,0.7789
1,2,84,0.7875,0.9000,0.7789
1,2,85,0.8208,0.8667,0.7739
1,2,86,0.8292,0.9000,0.8090
1,2,87,0.8333,0.9000,0.8291
1,2,88,0.8500,0.7833,0.8543
1,2,89,0.8667,0.7833,0.8342
1,2,90,0.8250,0.8000,0.8643
1,2,91,0.8458,0.8500,0.8492
1,2,92,0.8917,0.8667,0.8593
1,2,93,0.8875,0.9000,0.8844
1,2,94,0.9500,0.9667,0.8945
1,2,95,0.9500,0.9667,0.9246
1,2,96,0.9792,1.0000,0.9598
1,2,97,0.9833,1.0000,1.0000
1,2,98,0.9917,1.0000,0.9899
1,2,99,1.0000,1.0000,1.0000
1,2,100,1.0000,1.0000,1.0000
1,3,1,0.9375,0.8833,0.9246
1,3,2,0.9125,0.8833,0.9246
1,3,3,0.8917,0.8500,0.9246
1,3,4,0.8875,0.8333,0.8995
1,3,5,0.9042,0.8333,0.8945
1,3,6,0.8917,0.8667,0.8744
1,3,7,0.9083,0.8667,0.8744
1,3,8,0.8500,0.8833,0.8693
1,3,9,0.8875,0.9000,0.8794
1,3,10,0.8875,0.8833,0.8995
1,3,11,0.8958,0.8833,0.8945
1,3,12,0.9250,0.9000,0.8794
1,3,13,0.9167,0.9000,0.8693
1,3,14,0.9167,0.9000,0.8794
1,3,15,0.9042,0.9000,0.8643
1,3,16,0.8792,0.9333,0.8643
1,3,17,0.8792,0.8500,0.8744
1,3,18,0.8667,0.8667,0.8593
1,3,19,0.8958,0.8667,0.8593
1,3,20,0.9000,0.9000,0.8643
1,3,21,0.9083,0.8833,0.8492
1,3,22,0.9125,0.9167,0.8945
1,3,23,0.9083,0.9333,0.8995
1,3,24,0.8542,0.9500,0.9246
1,3,25,0.8833,0.9000,0.8693
1,3,26,0.8958,0.9167,0.8794
1,3,27,0.8917,0.9333,0.9045
1,3,28,0.9167,0.9500,0.8894
1,3,29,0.9167,0.9333,0.8844
1,3,30,0.9083,0.9333,0.8995
1,3,31,0.9083,0.8833,0.9045
1,3,32,0.9000,0.9167,0.8894
1,3,33,0.8833,0.8833,0.8894
1,3,34,0.8875,0.8833,0.8995
1,3,35,0.8833,0.8667,0.8945
1,3,36,0.9083,0.8500,0.8894
1,3,37,0.9083,0.8667,0.8794
1,3,38,0.9042,0.8667,0.8844
1,3,39,0.8917,0.9000,0.8543
1,3,40,0.9000,0.9167,0.8744
1,3,41,0.9000,0.9333,0.8945
1,3,42,0.8792,0.9333,0.9045
1,3,43,0.8750,0.9333,0.9045
1,3,44,0.8833,0.9000,0.8945
1,3,45,0.8917,0.8167,0.9347
1,3,46,0.9083,0.8500,0.9196
1,3,47,0.8792,0.8500,0.9095
1,3,48,0.8792,0.8167,0.8693
1,3,49,0.8542,0.8333,0.8744
1,3,50,0.8542,0.9000,0.8844
1,3,51,0.8792,0.8833,0.8995
1,3,52,0.8917,0.8500,0.8995
1,3,53,0.8875,0.8667,0.9146
1,3,54,0.8667,0.8333,0.8894
1,3,55,0.8833,0.7833,0.9196
1,3,56,0.9000,0.8500,0.8844
1,3,57,0.9167,0.9000,0.9045
1,3,58,0.8500,0.9500,0.8995
1,3,59,0.8500,0.9500,0.8794
1,3,60,0.9000,0.9167,0.8693
1,3,61,0.9125,0.8833,0.8794
1,3,62,0.9042,0.8833,0.8945
1,3,63,0.9167,0.9167,0.9095
1,3,64,0.8875,0.9167,0.8844
1,3,65,0.8958,0.8833,0.8844
1,3,66,0.8792,0.8833,0.8693
1,3,67,0.8875,0.9000,0.8945
1,3,68,0.8792,0.9000,0.8894
1,3,69,0.8708,0.9500,0.9045
1,3,70,0.8833,0.9500,0.9045
1,3,71,0.8833,0.9167,0.9397
1,3,72,0.8458,0.9000,0.9397
1,3,73,0.8542,0.9000,0.9296
1,3,74,0.8958,0.8667,0.9397
1,3,75,0.9167,0.8333,0.9397
1,3,76,0.9042,0.8833,0.9146
1,3,77,0.9125,0.8333,0.9246
1,3,78,0.8875,0.8667,0.8894
1,3,79,0.9042,0.9167,0.8894
1,3,80,0.9167,0.9667,0.8744
1,3,81,0.8833,0.9333,0.9045
1,3,82,0.8875,0.9333,0.8894
1,3,83,0.8833,0.9333,0.9045
1,3,84,0.9167,0.9333,0.8744
1,3,85,0.9000,0.9333,0.8794
1,3,86,0.9208,0.9000,0.8945
1,3,87,0.9208,0.9000,0.9095
1,3,88,0.8958,0.9167,0.9196
1,3,89,0.9292,0.8667,0.9095
1,3,90,0.9333,0.9167,0.9296
1,3,91,0.9417,0.9167,0.9397
1,3,92,0.9167,0.9667,0.9196
1,3,93,0.9292,0.9667,0.9447
1,3,94,0.9583,0.9667,0.9397
1,3,95,0.9250,0.9500,0.9548
1,3,96,0.9500,1.0000,0.9799
1,3,97,0.9750,0.9833,0.9950
1,3,98,0.9792,0.9833,0.9849
1,3,99,1.0000,1.0000,0.9950
1,3,100,1.0000,1.0000,1.0000
1,4,1,0.7583,0.7167,0.6884
1,4,2,0.5417,0.5333,0.5075
1,4,3,0.5667,0.5333,0.5226
1,4,4,0.5708,0.6000,0.5980
1,4,5,0.6083,0.6167,0.6181
1,4,6,0.6583,0.6333,0.6482
1,4,7,0.6625,0.6833,0.6382
1,4,8,0.6458,0.6833,0.6583
1,4,9,0.6667,0.6667,0.6482
1,4,10,0.6875,0.6500,0.6734
1,4,11,0.7042,0.7000,0.6734
1,4,12,0.6667,0.5667,0.6884
1,4,13,0.6583,0.5500,0.6884
1,4,14,0.6625,0.5000,0.6533
1,4,15,0.6542,0.6500,0.6583
1,4,16,0.6625,0.7500,0.6935
1,4,17,0.7125,0.7667,0.7437
1,4,18,0.7000,0.8000,0.7337
1,4,19,0.7375,0.7500,0.7085
1,4,20,0.7375,0.7167,0.7387
1,4,21,0.7375,0.7333,0.7337
1,4,22,0.7583,0.6833,0.7487
1,4,23,0.7750,0.6500,0.7236
1,4,24,0.7167,0.6667,0.7085
1,4,25,0.7208,0.6667,0.7286
1,4,26,0.7542,0.7500,0.7739
1,4,27,0.7333,0.6333,0.7387
1,4,28,0.7417,0.7000,0.7487
1,4,29,0.7458,0.6500,0.7337
1,4,30,0.7417,0.6500,0.7236
1,4,31,0.7333,0.5833,0.6985
1,4,32,0.7333,0.5833,0.7186
1,4,33,0.6917,0.6000,0.6935
1,4,34,0.6667,0.5667,0.6533
1,4,35,0.7333,0.6333,0.6834
1,4,36,0.7292,0.7000,0.6884
1,4,37,0.7083,0.6833,0.7085
1,4,38,0.7000,0.7333,0.7136
1,4,39,0.7458,0.7333,0.6935
1,4,40,0.7208,0.7333,0.7085
1,4,41,0.7125,0.7000,0.7186
1,4,42,0.6917,0.7833,0.7387
1,4,43,0.7042,0.7500,0.7236
1,4,44,0.7208,0.7333,0.7286
1,4,45,0.7250,0.7333,0.7085
1,4,46,0.7500,0.7833,0.7035
1,4,47,0.7542,0.7500,0.6834
1,4,48,0.7417,0.7833,0.7136
1,4,49,0.7625,0.8167,0.7186
1,4,50,0.7375,0.7833,0.7437
1,4,51,0.7333,0.8667,0.7136
1,4,52,0.7125,0.7500,0.7236
1,4,53,0.7208,0.7667,0.7538
1,4,54,0.7083,0.7333,0.7638
1,4,55,0.6958,0.7833,0.7588
1,4,56,0.7667,0.8333,0.7538
1,4,57,0.7958,0.7833,0.7588
1,4,58,0.7833,0.7000,0.7286
1,4,59,0.7542,0.6500,0.7186
1,4,60,0.7333,0.7167,0.7186
1,4,61,0.7125,0.6333,0.7538
1,4,62,0.6958,0.6333,0.7789
1,4,63,0.7250,0.6667,0.7387
1,4,64,0.7125,0.7000,0.7437
1,4,65,0.7333,0.6500,0.7688
1,4,66,0.7292,0.6667,0.7789
1,4,67,0.7542,0.6500,0.7638
1,4,68,0.7542,0.7333,0.7889
1,4,69,0.7167,0.8167,0.8040
1,4,70,0.7167,0.7333,0.7940
1,4,71,0.7125,0.7333,0.7487
1,4,72,0.7417,0.7667,0.7688
1,4,73,0.7583,0.7500,0.7739
1,4,74,0.7792,0.7500,0.7487
1,4,75,0.7875,0.7167,0.7789
1,4,76,0.8083,0.7167,0.7688
1,4,77,0.7750,0.8000,0.7688
1,4,78,0.7833,0.7833,0.7638
1,4,79,0.7833,0.7167,0.7286
1,4,80,0.7917,0.8000,0.7085
1,4,81,0.7833,0.7500,0.7437
1,4,82,0.7708,0.7333,0.7588
1,4,83,0.7708,0.8167,0.7789
1,4,84,0.7500,0.8333,0.7839
1,4,85,0.7833,0.8500,0.8040
1,4,86,0.7833,0.8667,0.7688
1,4,87,0.7625,0.8333,0.7839
1,4,88,0.8208,0.8667,0.8090
1,4,89,0.8375,0.8667,0.8342
1,4,90,0.8542,0.9333,0.8643
1,4,91,0.8667,0.9333,0.8744
1,4,92,0.8833,0.9333,0.8593
1,4,93,0.9000,0.9833,0.8744
1,4,94,0.9250,1.0000,0.9146
1,4,95,0.9583,1.0000,0.9296
1,4,96,0.9625,0.9833,0.9648
1,4,97,0.9792,0.9667,0.9849
1,4,98,0.9833,0.9667,0.9799
1,4,99,1.0000,0.9833,0.9950
1,4,100,1.0000,1.0000,1.0000
1,5,1,0.7583,0.7167,0.6884
1,5,2,0.6125,0.5667,0.6935
1,5,3,0.6292,0.6833,0.6734
1,5,4,0.6292,0.6833,0.6281
1,5,5,0.6583,0.7333,0.6231
1,5,6,0.6792,0.7000,0.5930
1,5,7,0.6875,0.6833,0.6080
1,5,8,0.6583,0.6833,0.6382
1,5,9,0.6417,0.6667,0.6231
1,5,10,0.6250,0.6833,0.6281
1,5,11,0.5875,0.6167,0.6332
1,5,12,0.6042,0.5667,0.6784
1,5,13,0.6583,0.5833,0.7236
1,5,14,0.6125,0.5167,0.6784
1,5,15,0.6250,0.5833,0.6382
1,5,16,0.6208,0.6167,0.6030
1,5,17,0.5750,0.5667,0.5829
1,5,18,0.5875,0.6167,0.5678
1,5,19,0.5792,0.7167,0.5930
1,5,20,0.5667,0.7667,0.5930
1,5,21,0.6625,0.7667,0.6231
1,5,22,0.6042,0.6500,0.6231
1,5,23,0.6000,0.6000,0.6533
1,5,24,0.6042,0.6167,0.5930
1,5,25,0.6125,0.6167,0.5427
1,5,26,0.5875,0.6000,0.5879
1,5,27,0.5833,0.5833,0.6181
1,5,28,0.6167,0.5500,0.6281
1,5,29,0.5750,0.5167,0.6231
1,5,30,0.5542,0.5167,0.6332
1,5,31,0.5333,0.5000,0.5879
1,5,32,0.5625,0.4667,0.6030
1,5,33,0.6208,0.5667,0.6030
