Name,SDR,Makespan
f.mc.6x5.train.290,SPT,949
f.mc.6x5.train.291,SPT,520
f.mc.6x5.train.292,SPT,425
f.mc.6x5.train.293,SPT,586
f.mc.6x5.train.294,SPT,674
f.mc.6x5.train.295,SPT,495
f.mc.6x5.train.296,SPT,713
f.mc.6x5.train.297,SPT,904
f.mc.6x5.train.298,SPT,392
f.mc.6x5.train.299,SPT,362
f.mc.6x5.train.300,SPT,480
f.mc.6x5.train.301,SPT,609
f.mc.6x5.train.302,SPT,611
f.mc.6x5.train.303,SPT,906
f.mc.6x5.train.304,SPT,817
f.mc.6x5.train.305,SPT,990
f.mc.6x5.train.306,SPT,428
f.mc.6x5.train.307,SPT,499
f.mc.6x5.train.308,SPT,647
f.mc.6x5.train.309,SPT,674
f.mc.6x5.train.310,SPT,745
f.mc.6x5.train.311,SPT,914
f.mc.6x5.train.312,SPT,1201
f.mc.6x5.train.313,SPT,253
f.mc.6x5.train.314,SPT,372
f.mc.6x5.train.315,SPT,439
f.mc.6x5.train.316,SPT,560
f.mc.6x5.train.317,SPT,686
f.mc.6x5.train.318,SPT,599
f.mc.6x5.train.319,SPT,757
f.mc.6x5.train.320,SPT,839
f.mc.6x5.train.321,SPT,517
f.mc.6x5.train.322,SPT,386
f.mc.6x5.train.323,SPT,638
f.mc.6x5.train.324,SPT,609
f.mc.6x5.train.325,SPT,752
f.mc.6x5.train.326,SPT,838
f.mc.6x5.train.327,SPT,747
f.mc.6x5.train.328,SPT,864
f.mc.6x5.train.329,SPT,469
f.mc.6x5.train.330,SPT,560
f.mc.6x5.train.331,SPT,573
f.mc.6x5.train.332,SPT,651
f.mc.6x5.train.333,SPT,823
f.mc.6x5.train.334,SPT,843
f.mc.6x5.train.335,SPT,969
f.mc.6x5.train.336,SPT,377
f.mc.6x5.train.337,SPT,376
f.mc.6x5.train.338,SPT,638
f.mc.6x5.train.339,SPT,642
f.mc.6x5.train.340,SPT,583
f.mc.6x5.train.341,SPT,637
f.mc.6x5.train.342,SPT,718
f.mc.6x5.train.343,SPT,908
f.mc.6x5.train.344,SPT,359
f.mc.6x5.train.345,SPT,643
f.mc.6x5.train.346,SPT,464
f.mc.6x5.train.347,SPT,695
f.mc.6x5.train.348,SPT,700
f.mc.6x5.train.349,SPT,728
f.mc.6x5.train.350,SPT,845
f.mc.6x5.train.351,SPT,1137
f.mc.6x5.train.352,SPT,464
f.mc.6x5.train.353,SPT,691
f.mc.6x5.train.354,SPT,589
f.mc.6x5.train.355,SPT,851
f.mc.6x5.train.356,SPT,622
f.mc.6x5.train.357,SPT,719
f.mc.6x5.train.358,SPT,1159
f.mc.6x5.train.359,SPT,214
f.mc.6x5.train.360,SPT,477
f.mc.6x5.train.361,SPT,494
f.mc.6x5.train.362,SPT,734
f.mc.6x5.train.363,SPT,492
f.mc.6x5.train.364,SPT,867
f.mc.6x5.train.365,SPT,778
f.mc.6x5.train.366,SPT,1017
f.mc.6x5.train.367,SPT,465
f.mc.6x5.train.368,SPT,578
f.mc.6x5.train.369,SPT,732
f.mc.6x5.train.370,SPT,746
f.mc.6x5.train.371,SPT,791
f.mc.6x5.train.372,SPT,775
f.mc.6x5.train.373,SPT,862
f.mc.6x5.train.374,SPT,432
f.mc.6x5.train.375,SPT,515
f.mc.6x5.train.376,SPT,700
f.mc.6x5.train.377,SPT,577
f.mc.6x5.train.378,SPT,528
f.mc.6x5.train.379,SPT,753
f.mc.6x5.train.380,SPT,820
f.mc.6x5.train.381,SPT,866
f.mc.6x5.train.382,SPT,453
f.mc.6x5.train.383,SPT,482
f.mc.6x5.train.384,SPT,553
f.mc.6x5.train.385,SPT,684
f.mc.6x5.train.386,SPT,704
f.mc.6x5.train.387,SPT,635
f.mc.6x5.train.388,SPT,868
f.mc.6x5.train.389,SPT,894
f.mc.6x5.train.390,SPT,560
f.mc.6x5.train.391,SPT,479
f.mc.6x5.train.392,SPT,646
f.mc.6x5.train.393,SPT,669
f.mc.6x5.train.394,SPT,797
f.mc.6x5.train.395,SPT,851
f.mc.6x5.train.396,SPT,1012
f.mc.6x5.train.397,SPT,429
f.mc.6x5.train.398,SPT,509
f.mc.6x5.train.399,SPT,632
f.mc.6x5.train.400,SPT,594
f.mc.6x5.train.401,SPT,574
f.mc.6x5.train.402,SPT,676
f.mc.6x5.train.403,SPT,821
f.mc.6x5.train.404,SPT,623
f.mc.6x5.train.405,SPT,379
f.mc.6x5.train.406,SPT,575
f.mc.6x5.train.407,SPT,552
f.mc.6x5.train.408,SPT,728
f.mc.6x5.train.409,SPT,716
f.mc.6x5.train.410,SPT,766
f.mc.6x5.train.411,SPT,937
f.mc.6x5.train.412,SPT,436
f.mc.6x5.train.413,SPT,431
f.mc.6x5.train.414,SPT,531
f.mc.6x5.train.415,SPT,678
f.mc.6x5.train.416,SPT,891
f.mc.6x5.train.417,SPT,752
f.mc.6x5.train.418,SPT,882
f.mc.6x5.train.419,SPT,952
f.mc.6x5.train.420,SPT,345
f.mc.6x5.train.421,SPT,478
f.mc.6x5.train.422,SPT,637
f.mc.6x5.train.423,SPT,588
f.mc.6x5.train.424,SPT,754
f.mc.6x5.train.425,SPT,765
f.mc.6x5.train.426,SPT,909
f.mc.6x5.train.427,SPT,794
f.mc.6x5.train.428,SPT,415
f.mc.6x5.train.429,SPT,433
f.mc.6x5.train.430,SPT,657
f.mc.6x5.train.431,SPT,769
f.mc.6x5.train.432,SPT,804
f.mc.6x5.train.433,SPT,816
f.mc.6x5.train.434,SPT,846
f.mc.6x5.train.435,SPT,432
f.mc.6x5.train.436,SPT,457
f.mc.6x5.train.437,SPT,589
f.mc.6x5.train.438,SPT,621
f.mc.6x5.train.439,SPT,811
f.mc.6x5.train.440,SPT,923
f.mc.6x5.train.441,SPT,731
f.mc.6x5.train.442,SPT,749
f.mc.6x5.train.443,SPT,501
f.mc.6x5.train.444,SPT,491
f.mc.6x5.train.445,SPT,604
f.mc.6x5.train.446,SPT,487
f.mc.6x5.train.447,SPT,666
f.mc.6x5.train.448,SPT,738
f.mc.6x5.train.449,SPT,957
f.mc.6x5.train.450,SPT,252
f.mc.6x5.train.451,SPT,423
f.mc.6x5.train.452,SPT,480
f.mc.6x5.train.453,SPT,613
f.mc.6x5.train.454,SPT,802
f.mc.6x5.train.455,SPT,712
f.mc.6x5.train.456,SPT,931
f.mc.6x5.train.457,SPT,913
f.mc.6x5.train.458,SPT,509
f.mc.6x5.train.459,SPT,500
f.mc.6x5.train.460,SPT,631
f.mc.6x5.train.461,SPT,671
f.mc.6x5.train.462,SPT,691
f.mc.6x5.train.463,SPT,817
f.mc.6x5.train.464,SPT,705
f.mc.6x5.train.465,SPT,848
f.mc.6x5.train.466,SPT,353
f.mc.6x5.train.467,SPT,560
f.mc.6x5.train.468,SPT,461
f.mc.6x5.train.469,SPT,656
f.mc.6x5.train.470,SPT,737
f.mc.6x5.train.471,SPT,769
f.mc.6x5.train.472,SPT,969
f.mc.6x5.train.473,SPT,473
f.mc.6x5.train.474,SPT,385
f.mc.6x5.train.475,SPT,601
f.mc.6x5.train.476,SPT,630
f.mc.6x5.train.477,SPT,732
f.mc.6x5.train.478,SPT,814
f.mc.6x5.train.479,SPT,920
f.mc.6x5.train.480,SPT,1058
f.mc.6x5.train.481,SPT,537
f.mc.6x5.train.482,SPT,611
f.mc.6x5.train.483,SPT,371
f.mc.6x5.train.484,SPT,602
f.mc.6x5.train.485,SPT,725
f.mc.6x5.train.486,SPT,863
f.mc.6x5.train.487,SPT,693
f.mc.6x5.train.488,SPT,379
f.mc.6x5.train.489,SPT,375
f.mc.6x5.train.490,SPT,589
f.mc.6x5.train.491,SPT,586
f.mc.6x5.train.492,SPT,799
f.mc.6x5.train.493,SPT,814
f.mc.6x5.train.494,SPT,763
f.mc.6x5.train.495,SPT,1029
f.mc.6x5.train.496,SPT,360
f.mc.6x5.train.497,SPT,518
f.mc.6x5.train.498,SPT,498
f.mc.6x5.train.499,SPT,708
f.mc.6x5.train.500,SPT,629
f.mc.6x5.train.501,SPT,867
f.mc.6x5.train.502,SPT,952
f.mc.6x5.train.503,SPT,1236
f.mc.6x5.train.504,SPT,573
f.mc.6x5.train.505,SPT,486
f.mc.6x5.train.506,SPT,592
f.mc.6x5.train.507,SPT,686
f.mc.6x5.train.508,SPT,727
f.mc.6x5.train.509,SPT,637
f.mc.6x5.train.510,SPT,788
f.mc.6x5.train.511,SPT,205
f.mc.6x5.train.512,SPT,481
f.mc.6x5.train.513,SPT,585
f.mc.6x5.train.514,SPT,581
f.mc.6x5.train.515,SPT,676
f.mc.6x5.train.516,SPT,703
f.mc.6x5.train.517,SPT,941
f.mc.6x5.train.518,SPT,910
f.mc.6x5.train.519,SPT,406
f.mc.6x5.train.520,SPT,481
f.mc.6x5.train.521,SPT,617
f.mc.6x5.train.522,SPT,704
f.mc.6x5.train.523,SPT,755
f.mc.6x5.train.524,SPT,713
f.mc.6x5.train.525,SPT,1013
f.mc.6x5.train.526,SPT,424
f.mc.6x5.train.527,SPT,572
f.mc.6x5.train.528,SPT,482
f.mc.6x5.train.529,SPT,534
f.mc.6x5.train.530,SPT,744
f.mc.6x5.train.531,SPT,763
f.mc.6x5.train.532,SPT,748
f.mc.6x5.train.533,SPT,885
f.mc.6x5.train.534,SPT,399
f.mc.6x5.train.535,SPT,461
f.mc.6x5.train.536,SPT,580
f.mc.6x5.train.537,SPT,669
f.mc.6x5.train.538,SPT,594
f.mc.6x5.train.539,SPT,764
f.mc.6x5.train.540,SPT,909
f.mc.6x5.train.541,SPT,847
f.mc.6x5.train.542,SPT,501
f.mc.6x5.train.543,SPT,601
f.mc.6x5.train.544,SPT,761
f.mc.6x5.train.545,SPT,747
f.mc.6x5.train.546,SPT,951
f.mc.6x5.train.547,SPT,699
f.mc.6x5.train.548,SPT,879
f.mc.6x5.train.549,SPT,414
f.mc.6x5.train.550,SPT,505
f.mc.6x5.train.551,SPT,392
f.mc.6x5.train.552,SPT,709
f.mc.6x5.train.553,SPT,659
f.mc.6x5.train.554,SPT,927
f.mc.6x5.train.555,SPT,716
f.mc.6x5.train.556,SPT,831
f.mc.6x5.train.557,SPT,329
f.mc.6x5.train.558,SPT,506
f.mc.6x5.train.559,SPT,698
f.mc.6x5.train.560,SPT,627
f.mc.6x5.train.561,SPT,613
f.mc.6x5.train.562,SPT,710
f.mc.6x5.train.563,SPT,901
f.mc.6x5.train.564,SPT,335
f.mc.6x5.train.565,SPT,487
f.mc.6x5.train.566,SPT,555
f.mc.6x5.train.567,SPT,809
f.mc.6x5.train.568,SPT,733
f.mc.6x5.train.569,SPT,645
f.mc.6x5.train.570,SPT,717
f.mc.6x5.train.571,SPT,871
f.mc.6x5.train.572,SPT,417
f.mc.6x5.train.573,SPT,313
f.mc.6x5.train.574,SPT,485
f.mc.6x5.train.575,SPT,493
f.mc.6x5.train.576,SPT,727
f.mc.6x5.train.577,SPT,819
f.mc.6x5.train.578,SPT,822
f.mc.6x5.train.579,SPT,767
f.mc.6x5.train.580,SPT,494
f.mc.6x5.train.581,SPT,462
f.mc.6x5.train.582,SPT,645
f.mc.6x5.train.583,SPT,527
f.mc.6x5.train.584,SPT,799
f.mc.6x5.train.585,SPT,771
f.mc.6x5.train.586,SPT,924
f.mc.6x5.train.587,SPT,466
f.mc.6x5.train.588,SPT,497
f.mc.6x5.train.589,SPT,493
f.mc.6x5.train.590,SPT,567
f.mc.6x5.train.591,SPT,854
f.mc.6x5.train.592,SPT,531
f.mc.6x5.train.593,SPT,884
f.mc.6x5.train.594,SPT,832
f.mc.6x5.train.595,SPT,508
f.mc.6x5.train.596,SPT,296
f.mc.6x5.train.597,SPT,661
f.mc.6x5.train.598,SPT,609
f.mc.6x5.train.599,SPT,828
f.mc.6x5.train.600,SPT,938
f.mc.6x5.train.601,SPT,737
f.mc.6x5.train.602,SPT,339
f.mc.6x5.train.603,SPT,411
f.mc.6x5.train.604,SPT,717
f.mc.6x5.train.605,SPT,505
f.mc.6x5.train.606,SPT,733
f.mc.6x5.train.607,SPT,737
f.mc.6x5.train.608,SPT,995
f.mc.6x5.train.609,SPT,863
f.mc.6x5.train.610,SPT,538
f.mc.6x5.train.611,SPT,493
f.mc.6x5.train.612,SPT,545
f.mc.6x5.train.613,SPT,631
f.mc.6x5.train.614,SPT,704
f.mc.6x5.train.615,SPT,773
f.mc.6x5.train.616,SPT,653
f.mc.6x5.train.617,SPT,840
f.mc.6x5.train.618,SPT,393
f.mc.6x5.train.619,SPT,473
f.mc.6x5.train.620,SPT,426
f.mc.6x5.train.621,SPT,711
f.mc.6x5.train.622,SPT,624
f.mc.6x5.train.623,SPT,963
f.mc.6x5.train.624,SPT,942
f.mc.6x5.train.625,SPT,405
f.mc.6x5.train.626,SPT,452
f.mc.6x5.train.627,SPT,626
f.mc.6x5.train.628,SPT,645
f.mc.6x5.train.629,SPT,813
f.mc.6x5.train.630,SPT,832
f.mc.6x5.train.631,SPT,968
f.mc.6x5.train.632,SPT,995
f.mc.6x5.train.633,SPT,196
f.mc.6x5.train.634,SPT,442
f.mc.6x5.train.635,SPT,686
f.mc.6x5.train.636,SPT,760
f.mc.6x5.train.637,SPT,677
f.mc.6x5.train.638,SPT,740
f.mc.6x5.train.639,SPT,823
f.mc.6x5.train.640,SPT,403
f.mc.6x5.train.641,SPT,545
f.mc.6x5.train.642,SPT,503
f.mc.6x5.train.643,SPT,597
f.mc.6x5.train.644,SPT,839
f.mc.6x5.train.645,SPT,831
f.mc.6x5.train.646,SPT,668
f.mc.6x5.train.647,SPT,917
f.mc.6x5.train.648,SPT,438
f.mc.6x5.train.649,SPT,545
f.mc.6x5.train.650,SPT,707
f.mc.6x5.train.651,SPT,712
f.mc.6x5.train.652,SPT,876
f.mc.6x5.train.653,SPT,771
f.mc.6x5.train.654,SPT,845
f.mc.6x5.train.655,SPT,859
f.mc.6x5.train.656,SPT,370
f.mc.6x5.train.657,SPT,553
f.mc.6x5.train.658,SPT,576
f.mc.6x5.train.659,SPT,785
f.mc.6x5.train.660,SPT,638
f.mc.6x5.train.661,SPT,829
f.mc.6x5.train.662,SPT,935
f.mc.6x5.train.663,SPT,343
f.mc.6x5.train.664,SPT,575
f.mc.6x5.train.665,SPT,483
f.mc.6x5.train.666,SPT,548
f.mc.6x5.train.667,SPT,702
f.mc.6x5.train.668,SPT,731
f.mc.6x5.train.669,SPT,921
f.mc.6x5.train.670,SPT,1055
f.mc.6x5.train.671,SPT,403
f.mc.6x5.train.672,SPT,667
f.mc.6x5.train.673,SPT,649
f.mc.6x5.train.674,SPT,835
f.mc.6x5.train.675,SPT,563
f.mc.6x5.train.676,SPT,719
f.mc.6x5.train.677,SPT,895
f.mc.6x5.train.678,SPT,293
f.mc.6x5.train.679,SPT,331
f.mc.6x5.train.680,SPT,486
f.mc.6x5.train.681,SPT,558
f.mc.6x5.train.682,SPT,768
f.mc.6x5.train.683,SPT,731
f.mc.6x5.train.684,SPT,776
f.mc.6x5.train.685,SPT,1008
f.mc.6x5.train.686,SPT,381
f.mc.6x5.train.687,SPT,543
f.mc.6x5.train.688,SPT,539
f.mc.6x5.train.689,SPT,810
f.mc.6x5.train.690,SPT,691
f.mc.6x5.train.691,SPT,825
f.mc.6x5.train.692,SPT,824
f.mc.6x5.train.693,SPT,1023
f.mc.6x5.train.694,SPT,467
f.mc.6x5.train.695,SPT,644
f.mc.6x5.train.696,SPT,595
f.mc.6x5.train.697,SPT,534
f.mc.6x5.train.698,SPT,719
f.mc.6x5.train.699,SPT,709
f.mc.6x5.train.700,SPT,1002
f.mc.6x5.train.701,SPT,297
f.mc.6x5.train.702,SPT,523
f.mc.6x5.train.703,SPT,465
f.mc.6x5.train.704,SPT,690
f.mc.6x5.train.705,SPT,712
f.mc.6x5.train.706,SPT,805
f.mc.6x5.train.707,SPT,799
f.mc.6x5.train.708,SPT,919
f.mc.6x5.train.709,SPT,560
f.mc.6x5.train.710,SPT,466
f.mc.6x5.train.711,SPT,561
f.mc.6x5.train.712,SPT,614
f.mc.6x5.train.713,SPT,714
f.mc.6x5.train.714,SPT,947
f.mc.6x5.train.715,SPT,1104
f.mc.6x5.train.716,SPT,388
f.mc.6x5.train.717,SPT,451
f.mc.6x5.train.718,SPT,501
f.mc.6x5.train.719,SPT,633
f.mc.6x5.train.720,SPT,639
f.mc.6x5.train.721,SPT,894
f.mc.6x5.train.722,SPT,899
f.mc.6x5.train.723,SPT,897
f.mc.6x5.train.724,SPT,366
f.mc.6x5.train.725,SPT,434
f.mc.6x5.train.726,SPT,531
f.mc.6x5.train.727,SPT,546
f.mc.6x5.train.728,SPT,828
f.mc.6x5.train.729,SPT,717
f.mc.6x5.train.730,SPT,847
f.mc.6x5.train.731,SPT,956
f.mc.6x5.train.732,SPT,491
f.mc.6x5.train.733,SPT,523
