Problem,Track,Step,Followed,best.mu,worst.mu,mu
f.jc,OPT,21,FALSE,5.72847272727273,7.146,6.4042303030303
f.jc,OPT,21,TRUE,0,0,0
f.jc,OPT,22,FALSE,5.94277372262774,7.26229927007299,6.5882603406326
f.jc,OPT,22,TRUE,0,0,0
f.jc,OPT,23,FALSE,5.79131086142322,6.96037453183521,6.35799001248439
f.jc,OPT,23,TRUE,0,0,0
f.jc,OPT,24,FALSE,5.57917695473251,6.96716049382716,6.25651234567901
f.jc,OPT,24,TRUE,0,0,0
f.jc,OPT,25,FALSE,5.5891914893617,7.02412765957447,6.30352482269504
f.jc,OPT,25,TRUE,0,0,0
f.jc,OPT,26,FALSE,5.88224215246637,6.79434977578475,6.33283632286996
f.jc,OPT,26,TRUE,0,0,0
f.jc,OPT,27,FALSE,5.84427906976744,6.76809302325581,6.29372093023256
f.jc,OPT,27,TRUE,0,0,0
f.jc,OPT,28,FALSE,4.95798245614035,6.78078947368421,5.86938596491228
f.jc,OPT,28,TRUE,0,0,0
f.jc,OPT,29,FALSE,5.50075144508671,5.50075144508671,5.50075144508671
f.jc,OPT,29,TRUE,0,0,0
f.jc,OPT,30,TRUE,0,0,0
f.jc,RND,1,FALSE,0.00552,1.22298,0.40386
f.jc,RND,1,TRUE,0.36968,0.36968,0.36968
f.jc,RND,2,FALSE,0.36968,1.26994,0.64702
f.jc,RND,2,TRUE,0.6054,0.6054,0.6054
f.jc,RND,3,FALSE,0.6054,2.79008,1.133888
f.jc,RND,3,TRUE,1.13828,1.13828,1.13828
f.jc,RND,4,FALSE,1.15656,3.67988,1.785668
f.jc,RND,4,TRUE,1.73226,1.73226,1.73226
f.jc,RND,5,FALSE,1.73226,4.71954,2.481244
f.jc,RND,5,TRUE,2.32924,2.32924,2.32924
f.jc,RND,6,FALSE,2.3188,5.5445,3.122386
f.jc,RND,6,TRUE,3.17378,3.17378,3.17378
f.jc,RND,7,FALSE,3.17378,6.10196,3.906716
f.jc,RND,7,TRUE,3.86486,3.86486,3.86486
f.jc,RND,8,FALSE,3.86486,6.66344,4.547412
f.jc,RND,8,TRUE,4.63268,4.63268,4.63268
f.jc,RND,9,FALSE,4.63268,7.20836,5.262553
f.jc,RND,9,TRUE,5.25512,5.25512,5.25512
f.jc,RND,10,FALSE,5.25512,7.6929,5.840751
f.jc,RND,10,TRUE,5.898,5.898,5.898
f.jc,RND,11,FALSE,5.898,8.0951,6.429351
f.jc,RND,11,TRUE,6.56514,6.56514,6.56514
f.jc,RND,12,FALSE,6.56514,8.52822,7.020295
f.jc,RND,12,TRUE,7.00576,7.00576,7.00576
f.jc,RND,13,FALSE,7.00576,8.9348,7.453938
f.jc,RND,13,TRUE,7.49682,7.49682,7.49682
f.jc,RND,14,FALSE,7.49682,9.1957,7.892766
f.jc,RND,14,TRUE,8.05162,8.05162,8.05162
f.jc,RND,15,FALSE,8.05162,9.75384,8.45822766666667
f.jc,RND,15,TRUE,8.49404,8.49404,8.49404
f.jc,RND,16,FALSE,8.49404,10.1091,8.878647
