Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,24,p,SPT,1114
j.rnd_p1mdoubled,24,p,LPT,144
j.rnd_p1mdoubled,24,p,LWR,132
j.rnd_p1mdoubled,24,p,MWR,710
j.rnd_p1mdoubled,24,p,RND,652
j.rnd_p1mdoubled,24,p,OPT,1750
j.rnd_p1mdoubled,24,p,CMA-ES,1774
j.rnd_p1mdoubled,25,p,SPT,776
j.rnd_p1mdoubled,25,p,LPT,128
j.rnd_p1mdoubled,25,p,LWR,180
j.rnd_p1mdoubled,25,p,MWR,526
j.rnd_p1mdoubled,25,p,RND,392
j.rnd_p1mdoubled,25,p,OPT,1324
j.rnd_p1mdoubled,25,p,CMA-ES,1176
j.rnd_p1mdoubled,26,p,SPT,444
j.rnd_p1mdoubled,26,p,LPT,50
j.rnd_p1mdoubled,26,p,MWR,266
j.rnd_p1mdoubled,26,p,RND,290
j.rnd_p1mdoubled,26,p,OPT,914
j.rnd_p1mdoubled,26,p,CMA-ES,722
j.rnd_p1mdoubled,27,p,SPT,236
j.rnd_p1mdoubled,27,p,LPT,12
j.rnd_p1mdoubled,27,p,MWR,122
j.rnd_p1mdoubled,27,p,RND,162
j.rnd_p1mdoubled,27,p,OPT,536
j.rnd_p1mdoubled,27,p,CMA-ES,408
j.rnd_p1mdoubled,28,p,SPT,102
j.rnd_p1mdoubled,28,p,LPT,4
j.rnd_p1mdoubled,28,p,MWR,30
j.rnd_p1mdoubled,28,p,RND,50
j.rnd_p1mdoubled,28,p,OPT,268
j.rnd_p1mdoubled,28,p,CMA-ES,180
j.rnd_p1mdoubled,29,p,SPT,14
j.rnd_p1mdoubled,29,p,MWR,6
j.rnd_p1mdoubled,29,p,RND,6
j.rnd_p1mdoubled,29,p,OPT,78
j.rnd_p1mdoubled,29,p,CMA-ES,42
