Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrival.1,phi.procTotal.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1715,20580,6.4596,0.136565523540983,-0.303217884362158,-0.390468979712894,-0.281154087324043,-0.145335748119326,-0.00899315884563637,-0.128374910848685,-0.0684775219898505,-0.125246689487706,-0.378450887708499,-0.24750817605911,0.195087338060434,0.0998867914310307,-0.179553484343308,-0.0781896386662261,-0.276246756113647,0.468623048996701,0.114197333730903
1716,20592,6.4596,0.136565540569134,-0.303217875560064,-0.390469003683645,-0.28115410379116,-0.145335766175248,-0.00899318768563851,-0.128374926435131,-0.0684775714466725,-0.125246626390882,-0.378450857959807,-0.247508162871306,0.195087372831377,0.0998868029290692,-0.17955347081569,-0.0781895978265866,-0.276246720311569,0.468623047754081,0.114197409658616
1717,20604,6.4596,0.136565666200479,-0.303217886788202,-0.390469096506822,-0.281154076955895,-0.145335762472796,-0.00899324861045681,-0.128374983876327,-0.0684776128107149,-0.125246519725317,-0.378450801693713,-0.247508061051561,0.19508742098168,0.0998868107168514,-0.179553429957905,-0.0781896361978863,-0.276246670442071,0.468623056639003,0.114197446035667
1718,20616,6.4596,0.13656573804031,-0.303217827920478,-0.390469130980355,-0.28115415864012,-0.145335748219108,-0.00899329221751689,-0.128374988405754,-0.0684775868092905,-0.125246425904686,-0.378450810809282,-0.247508025201155,0.195087391979042,0.0998868079568997,-0.17955342638776,-0.0781896244293351,-0.276246651758367,0.468623066660753,0.114197442748833
1719,20628,6.4596,0.136565711637884,-0.303217898028391,-0.390469157484707,-0.281154114856027,-0.145335762356763,-0.00899326868916683,-0.128375008634688,-0.0684776321331056,-0.125246446436226,-0.37845074824662,-0.247508018992519,0.195087424530695,0.099886828271213,-0.179553428305088,-0.0781896042487271,-0.276246669446295,0.468623036028216,0.114197457898411
1720,20640,6.4596,0.136565618800605,-0.303217888665604,-0.390469078140583,-0.281154081997116,-0.145335808732032,-0.00899324698186288,-0.128375033037958,-0.0684775896403862,-0.125246525826849,-0.378450766177758,-0.247508084900986,0.195087420850305,0.0998868298847743,-0.179553422463375,-0.0781895964795233,-0.276246697890746,0.468623050692192,0.114197487765927
1721,20652,6.4596,0.13656550747466,-0.303217905809691,-0.390469006847317,-0.281154062885119,-0.145335870620184,-0.00899319175937002,-0.128375061422042,-0.0684775756311116,-0.125246636636547,-0.378450760274644,-0.24750815550032,0.195087398398135,0.0998868288116766,-0.179553404759528,-0.0781895499419072,-0.276246785299799,0.46862303125136,0.114197480621431
1722,20664,6.4596,0.136565489086825,-0.303217898493514,-0.390468948776706,-0.281154057734119,-0.1453358760265,-0.0089931509351795,-0.128375027377006,-0.0684775915586265,-0.125246700631218,-0.378450796296197,-0.2475082173579,0.195087397503594,0.0998868035097917,-0.17955342224835,-0.0781895143331507,-0.276246809381379,0.468623011283418,0.114197478930548
1723,20676,6.4596,0.136565495058292,-0.303217832037385,-0.390468934390839,-0.281154118230146,-0.145335851658887,-0.00899318097490026,-0.128374977701795,-0.0684775755762442,-0.125246648246654,-0.378450848084768,-0.247508230308516,0.195087387348103,0.0998867934460176,-0.179553435137903,-0.0781895166701244,-0.27624676635192,0.468623040458019,0.114197488973895
1724,20688,6.4596,0.136565488898764,-0.303217859722232,-0.390468936422255,-0.281154128013955,-0.145335850884731,-0.00899316946743056,-0.128374986455084,-0.0684775750100838,-0.125246694083265,-0.378450807845049,-0.247508253235165,0.195087380309708,0.0998867736281148,-0.179553412423888,-0.078189541324893,-0.27624679574252,0.468623024103778,0.114197461786481
