Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrivalTime.1,phi.totProc.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1703,20436,571.7020,-0.19848510852715298,-0.211983550711328,-0.27482201002927337,-0.0016682015819163292,-0.12817781225933769,0.051955939556029965,-0.064927191433170522,0.0033563639535611257,-0.052712772133925834,-0.51215695027167063,-0.14942062362674502,-0.081747177363579865,0.66527589060388814,-0.070363106352929444,-0.15522980676777187,-0.016002910213057869,0.21844244475379559,0.055461449243345493
1704,20448,571.7020,-0.19848509571124223,-0.21198354631920546,-0.27482201470557849,-0.001668199365455672,-0.12817780501114498,0.051955934476245511,-0.064927186986374022,0.0033563697599260753,-0.052712775427031622,-0.512156955661879,-0.14942062704686868,-0.081747165509629363,0.665275889903753,-0.070363111640031256,-0.15522981420103849,-0.016002906894475671,0.21844244649360148,0.0554614454986103
1705,20460,571.7020,-0.19848510064635658,-0.21198355010304559,-0.274822012996672,-0.0016681988499900619,-0.12817780918416688,0.051955938372055352,-0.064927187262245584,0.0033563690048341362,-0.052712772923136308,-0.5121569553884926,-0.14942062586602159,-0.081747173480670565,0.6652758873755914,-0.070363115212264432,-0.15522981122309681,-0.016002910126519863,0.21844244455326617,0.055461445462081552
1706,20472,571.7020,-0.19848509538321463,-0.2119835441476082,-0.2748220098858879,-0.0016681995720090916,-0.12817780842227824,0.051955937340522763,-0.064927181687334246,0.0033563663202819489,-0.052712771222142532,-0.51215696099902053,-0.14942063840212397,-0.081747173815368154,0.66527588237423063,-0.07036312766449776,-0.15522981914647979,-0.016002905798364012,0.21844244665292406,0.055461442405790942
1707,20484,571.7020,-0.19848509477679047,-0.21198354323574742,-0.2748220163177833,-0.0016681964033527555,-0.12817780190939848,0.051955933469221616,-0.064927179096586435,0.0033563655094236804,-0.05271276856540278,-0.51215695672505712,-0.14942062960363273,-0.081747171754203013,0.66527588951328953,-0.070363117011469675,-0.15522981535553462,-0.016002904164112538,0.21844244740979848,0.055461442762400892
1708,20496,571.7020,-0.19848509217213886,-0.21198353381638729,-0.27482201447895444,-0.0016681987858908024,-0.12817780425751218,0.051955930802925432,-0.064927182820208942,0.0033563565846173558,-0.052712761719636049,-0.51215695236204994,-0.14942063800864711,-0.0817471787854381,0.66527589387571262,-0.07036311122529923,-0.15522981682453177,-0.01600290299687053,0.2184424506890579,0.055461442488824134
1709,20508,571.7020,-0.19848509839389508,-0.21198352752904481,-0.27482201638071146,-0.0016682025866839336,-0.12817780632058934,0.051955931532937261,-0.064927183335832667,0.0033563658145309549,-0.052712754630994021,-0.51215694805934631,-0.14942064398826213,-0.081747174468949635,0.66527589699903156,-0.070363105175164961,-0.155229811232589,-0.016002894791302031,0.2184424519399745,0.055461448127231153
1710,20520,571.7020,-0.19848509618401375,-0.21198352429326522,-0.27482200860707545,-0.0016682004241757628,-0.12817780998902212,0.051955934216533314,-0.06492718013391155,0.0033563509034185614,-0.052712750110307016,-0.51215695453678334,-0.14942065758848708,-0.0817471893134126,0.6652758893626548,-0.0703631185365565,-0.15522981600309022,-0.016002894658013144,0.21844245317838534,0.055461443065237523
1711,20532,571.7020,-0.19848508736476661,-0.2119835142984067,-0.27482200545640928,-0.0016682019166141934,-0.12817781094197384,0.051955931493032258,-0.064927177043500039,0.0033563411306039631,-0.052712739906705622,-0.5121569617450048,-0.14942067023927808,-0.081747195729837185,0.665275885820159,-0.070363125964508264,-0.15522982336505711,-0.016002892929880077,0.218442456845168,0.055461431069332
1712,20544,571.7020,-0.19848507871760157,-0.21198351023845594,-0.27482200757126313,-0.0016681985717937619,-0.12817781289288011,0.051955929009458737,-0.064927177184211163,0.0033563338437014893,-0.052712732344764784,-0.5121569662166946,-0.14942067206079421,-0.081747203975216245,0.6652758829777371,-0.07036312825662662,-0.15522982749923217,-0.016002897964693757,0.21844245973959583,0.055461420845381665
