Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
f.rnd.10x10.train.224,f,rnd,train,224,10,10,100,1037
f.rnd.10x10.train.225,f,rnd,train,225,10,10,100,1181
f.rnd.10x10.train.226,f,rnd,train,226,10,10,100,1347
f.rnd.10x10.train.227,f,rnd,train,227,10,10,100,1143
f.rnd.10x10.train.228,f,rnd,train,228,10,10,100,1077
f.rnd.10x10.train.229,f,rnd,train,229,10,10,100,1264
f.rnd.10x10.train.230,f,rnd,train,230,10,10,100,1126
f.rnd.10x10.train.231,f,rnd,train,231,10,10,100,1178
f.rnd.10x10.train.232,f,rnd,train,232,10,10,100,1201
f.rnd.10x10.train.233,f,rnd,train,233,10,10,100,1277
f.rnd.10x10.train.234,f,rnd,train,234,10,10,100,1224
f.rnd.10x10.train.235,f,rnd,train,235,10,10,100,1192
f.rnd.10x10.train.236,f,rnd,train,236,10,10,100,1172
f.rnd.10x10.train.237,f,rnd,train,237,10,10,100,1235
f.rnd.10x10.train.238,f,rnd,train,238,10,10,100,1107
f.rnd.10x10.train.239,f,rnd,train,239,10,10,100,1252
f.rnd.10x10.train.240,f,rnd,train,240,10,10,100,1189
f.rnd.10x10.train.241,f,rnd,train,241,10,10,100,1296
f.rnd.10x10.train.242,f,rnd,train,242,10,10,100,1148
f.rnd.10x10.train.243,f,rnd,train,243,10,10,100,1277
f.rnd.10x10.train.244,f,rnd,train,244,10,10,100,1105
f.rnd.10x10.train.245,f,rnd,train,245,10,10,100,1220
f.rnd.10x10.train.246,f,rnd,train,246,10,10,100,1081
f.rnd.10x10.train.247,f,rnd,train,247,10,10,100,1187
f.rnd.10x10.train.248,f,rnd,train,248,10,10,100,1236
f.rnd.10x10.train.249,f,rnd,train,249,10,10,100,1207
f.rnd.10x10.train.250,f,rnd,train,250,10,10,100,1161
f.rnd.10x10.train.251,f,rnd,train,251,10,10,100,1143
f.rnd.10x10.train.252,f,rnd,train,252,10,10,100,1272
f.rnd.10x10.train.253,f,rnd,train,253,10,10,100,1197
f.rnd.10x10.train.254,f,rnd,train,254,10,10,100,1313
f.rnd.10x10.train.255,f,rnd,train,255,10,10,100,1321
f.rnd.10x10.train.256,f,rnd,train,256,10,10,100,1335
f.rnd.10x10.train.257,f,rnd,train,257,10,10,100,1302
f.rnd.10x10.train.258,f,rnd,train,258,10,10,100,1213
f.rnd.10x10.train.259,f,rnd,train,259,10,10,100,1178
f.rnd.10x10.train.260,f,rnd,train,260,10,10,100,1210
f.rnd.10x10.train.261,f,rnd,train,261,10,10,100,1169
f.rnd.10x10.train.262,f,rnd,train,262,10,10,100,1179
f.rnd.10x10.train.263,f,rnd,train,263,10,10,100,1089
f.rnd.10x10.train.264,f,rnd,train,264,10,10,100,1225
f.rnd.10x10.train.265,f,rnd,train,265,10,10,100,1176
f.rnd.10x10.train.266,f,rnd,train,266,10,10,100,1232
f.rnd.10x10.train.267,f,rnd,train,267,10,10,100,1141
f.rnd.10x10.train.268,f,rnd,train,268,10,10,100,1199
f.rnd.10x10.train.269,f,rnd,train,269,10,10,100,1124
f.rnd.10x10.train.270,f,rnd,train,270,10,10,100,1237
f.rnd.10x10.train.271,f,rnd,train,271,10,10,100,1241
