Problem,NrFeat,Model,Prob,TimeIndependent,Training.Rho,NTrain,Validation.Rho,NValidation,Test.Rho,NTest
j.rnd,2,47,opt,TRUE,37.15065,240,36.40812,60,36.80076,200
j.rnd,2,48,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,2,49,opt,TRUE,20.12862,240,20.42406,60,19.16114,200
j.rnd,2,50,opt,TRUE,55.26758,240,58.83068,60,55.85667,200
j.rnd,2,51,opt,TRUE,29.50399,240,26.91259,60,29.1585,200
j.rnd,2,52,opt,TRUE,52.17698,240,53.01834,60,51.34567,200
j.rnd,2,53,opt,TRUE,33.74339,240,32.43815,60,33.17678,200
j.rnd,2,54,opt,TRUE,34.31956,240,35.62185,60,34.34669,200
j.rnd,2,55,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,2,56,opt,TRUE,50.48011,240,49.65075,60,52.9342,200
j.rnd,2,57,opt,TRUE,30.92587,240,31.49066,60,30.62828,200
j.rnd,2,58,opt,TRUE,37.27462,240,37.11949,60,37.2068,200
j.rnd,2,59,opt,TRUE,26.20014,240,26.54918,60,26.68812,200
j.rnd,2,60,opt,TRUE,56.03097,240,56.89791,60,55.84629,200
j.rnd,2,61,opt,TRUE,41.73946,240,42.72521,60,42.69639,200
j.rnd,2,62,opt,TRUE,55.78603,240,56.41315,60,57.24868,200
j.rnd,2,63,opt,TRUE,50.00225,240,53.28379,60,52.40433,200
j.rnd,2,64,opt,TRUE,48.02826,240,46.93066,60,47.73626,200
j.rnd,2,65,opt,TRUE,37.2867,240,37.01237,60,37.25872,200
j.rnd,2,66,opt,TRUE,37.00482,240,35.92242,60,37.10129,200
j.rnd,2,67,opt,TRUE,50.09521,240,49.12353,60,51.00358,200
j.rnd,2,68,opt,TRUE,30.20377,240,30.43246,60,30.37713,200
j.rnd,2,69,opt,TRUE,35.18593,240,33.3531,60,33.89376,200
j.rnd,2,70,opt,TRUE,25.93683,240,26.83487,60,26.48247,200
j.rnd,2,71,opt,TRUE,51.0519,240,49.93099,60,51.91706,200
j.rnd,2,72,opt,TRUE,42.20278,240,41.30378,60,41.4184,200
j.rnd,2,73,opt,TRUE,55.15811,240,55.76305,60,56.53425,200
j.rnd,2,74,opt,TRUE,28.71773,240,28.18661,60,28.31756,200
j.rnd,2,75,opt,TRUE,44.51137,240,45.08207,60,44.86507,200
j.rnd,2,76,opt,TRUE,35.21239,240,33.47361,60,34.04889,200
j.rnd,2,77,opt,TRUE,34.44483,240,33.58409,60,33.44002,200
j.rnd,2,78,opt,TRUE,46.26715,240,45.08063,60,44.86431,200
j.rnd,2,79,opt,TRUE,50.62683,240,49.50669,60,53.12492,200
j.rnd,2,80,opt,TRUE,30.96469,240,31.49066,60,30.70277,200
j.rnd,2,81,opt,TRUE,37.40745,240,37.11949,60,37.12524,200
j.rnd,2,82,opt,TRUE,26.19749,240,26.54918,60,26.61224,200
j.rnd,2,83,opt,TRUE,56.27446,240,56.63701,60,55.07138,200
j.rnd,2,84,opt,TRUE,41.67337,240,42.92911,60,42.91267,200
j.rnd,2,85,opt,TRUE,55.27811,240,55.89171,60,56.49155,200
j.rnd,2,86,opt,TRUE,49.76727,240,51.52745,60,51.99862,200
j.rnd,2,87,opt,TRUE,48.02826,240,46.93066,60,47.73626,200
j.rnd,2,88,opt,TRUE,37.41158,240,37.07263,60,37.12256,200
j.rnd,2,89,opt,TRUE,37.73304,240,35.69912,60,37.39593,200
j.rnd,2,90,opt,TRUE,51.39279,240,51.24584,60,52.32547,200
j.rnd,2,91,opt,TRUE,46.29099,240,45.00496,60,45.31286,200
j.rnd,2,92,opt,TRUE,48.7879,240,51.19497,60,49.64143,200
j.rnd,2,93,opt,TRUE,30.24502,240,29.46032,60,28.82326,200
j.rnd,2,94,opt,TRUE,33.09902,240,32.67008,60,32.66405,200
j.rnd,2,95,opt,TRUE,26.10784,240,24.88943,60,25.56709,200
j.rnd,2,96,opt,TRUE,53.53717,240,58.43618,60,56.21647,200
j.rnd,2,97,opt,TRUE,39.85269,240,40.03642,60,38.77991,200
j.rnd,2,98,opt,TRUE,55.46613,240,58.51292,60,56.12108,200
j.rnd,2,99,opt,TRUE,46.11103,240,44.61418,60,47.79864,200
j.rnd,3,1,opt,TRUE,43.5187,240,41.11801,60,43.25215,200
j.rnd,3,10,opt,TRUE,38.667,240,37.13118,60,38.15697,200
j.rnd,3,11,opt,TRUE,32.69426,240,32.12072,60,34.14365,200
j.rnd,3,12,opt,TRUE,33.09774,240,32.15427,60,34.36301,200
j.rnd,3,13,opt,TRUE,33.10256,240,31.71492,60,34.30022,200
j.rnd,3,14,opt,TRUE,31.03832,240,29.39907,60,30.41752,200
j.rnd,3,15,opt,TRUE,18.9605,240,19.49685,60,19.12076,200
j.rnd,3,16,opt,TRUE,19.32765,240,19.55574,60,19.20232,200
j.rnd,3,2,opt,TRUE,28.89456,240,28.79513,60,28.88599,200
j.rnd,3,3,opt,TRUE,28.80497,240,28.21505,60,28.08296,200
j.rnd,3,4,opt,TRUE,28.90504,240,27.98739,60,28.07447,200
j.rnd,3,5,opt,TRUE,52.30772,240,46.65976,60,50.91389,200
j.rnd,3,6,opt,TRUE,52.09416,240,46.51505,60,51.20612,200
j.rnd,3,7,opt,TRUE,51.35917,240,47.128,60,52.20661,200
j.rnd,3,8,opt,TRUE,40.46802,240,38.85992,60,39.92604,200
j.rnd,3,9,opt,TRUE,32.52166,240,31.09138,60,33.06054,200
j.rnd,3,100,opt,TRUE,50.90255,240,49.13933,60,52.89356,200
j.rnd,3,101,opt,TRUE,51.83134,240,49.8127,60,53.16711,200
j.rnd,3,102,opt,TRUE,45.13306,240,45.30373,60,45.35648,200
j.rnd,3,103,opt,TRUE,32.59019,240,30.30959,60,32.79756,200
j.rnd,3,104,opt,TRUE,52.5295,240,51.21588,60,53.09255,200
j.rnd,3,105,opt,TRUE,31.12309,240,30.6401,60,32.0892,200
j.rnd,3,106,opt,TRUE,43.06024,240,41.19003,60,42.99639,200
