PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1001,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,-10,0,-10,0
1001,3,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1001,3,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0
1001,3,1,-1,-1,0,97,97,151,-54,97,46,-151,151,151,3,-1,-144,37,7,-17
1001,3,1,1,1,0,-97,-97,-151,54,-97,-46,151,-151,-151,-3,1,144,-37,-7,17
1001,3,0,-5,-1,-7,0,-7,0,0,-7,0,0,0,0,0,0,-7,0,-7,0
1001,3,0,5,1,7,0,7,0,0,7,0,0,0,0,0,0,7,0,7,0
1001,3,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,-5,0,-5,0
1001,3,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,5,0,5,0
1001,3,0,-2,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,10,0,10,0
1001,3,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,-10,0,-10,0
1001,4,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1001,4,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0
1001,4,1,-1,-1,4,143,147,197,-54,147,50,-197,197,197,4,-1,-190,49,7,-5
1001,4,1,1,1,-4,-143,-147,-197,54,-147,-50,197,-197,-197,-4,1,190,-49,-7,5
1001,4,0,-5,-1,-7,0,-7,0,0,-7,0,0,0,0,0,0,-7,0,-7,0
1001,4,0,5,1,7,0,7,0,0,7,0,0,0,0,0,0,7,0,7,0
1001,4,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,-5,0,-5,0
1001,4,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,5,0,5,0
1001,4,0,-2,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,10,0,10,0
1001,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,-10,0,-10,0
1001,5,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1001,5,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0
1001,5,1,-5,-1,-7,0,-7,0,0,-7,0,0,0,0,0,0,-7,0,-7,0
1001,5,1,5,1,7,0,7,0,0,7,0,0,0,0,0,0,7,0,7,0
1001,5,1,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,-5,0,-5,0
1001,5,1,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,5,0,5,0
1001,5,0,-2,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,10,0,10,0
1001,5,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,-10,0,-10,0
1001,6,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1001,6,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0
1001,6,1,-1,-1,6,0,6,107,-107,6,0,-1,55,1,1,-1,-46,49,7,-6
1001,6,1,1,1,-6,0,-6,-107,107,-6,0,1,-55,-1,-1,1,46,-49,-7,6
1001,6,0,-6,-1,-3,0,-3,0,0,-3,0,0,0,0,0,0,-12,0,-12,0
1001,6,0,6,1,3,0,3,0,0,3,0,0,0,0,0,0,12,0,12,0
