PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,10,0,-20,-1,-14,-140,-154,-2,-132,307,-8,2,1,28,0,0,6,38,-6,-248,439,0
1,10,0,20,1,14,140,154,2,132,-307,8,-2,-1,-28,0,0,-6,-38,6,248,-439,0
1,10,0,-20,-1,-5,-140,-145,-2,-132,-21,-8,2,1,28,0,0,15,29,-15,-248,111,0
1,10,0,20,1,5,140,145,2,132,21,8,-2,-1,-28,0,0,-15,-29,15,248,-111,0
1,10,0,-20,-1,4,147,151,2,287,106,-140,1,0,151,24,0,-151,151,151,12,-85,0
1,10,0,20,1,-4,-147,-151,-2,-287,-106,140,-1,0,-151,-24,0,151,-151,-151,-12,85,0
1,10,1,-14,-1,-14,0,-14,1,-20,59,20,0,0,-14,0,0,0,0,0,0,-17,0
1,10,1,14,1,14,0,14,-1,20,-59,-20,0,0,14,0,0,0,0,0,0,17,0
1,11,0,-20,-1,-10,-38,-48,1,136,66,-174,4,-2,93,0,0,10,214,-10,45,-70,0
1,11,0,20,1,10,38,48,-1,-136,-66,174,-4,2,-93,0,0,-10,-214,10,-45,70,0
1,11,0,-20,-1,-14,-174,-188,-2,-132,307,-42,2,0,-6,0,0,6,38,-6,-214,439,0
1,11,0,20,1,14,174,188,2,132,-307,42,-2,0,6,0,0,-6,-38,6,214,-439,0
1,11,0,-20,-1,-5,-174,-179,-2,-132,-21,-42,2,0,-6,0,0,15,29,-15,-214,111,0
1,11,0,20,1,5,174,179,2,132,21,42,-2,0,6,0,0,-15,-29,15,214,-111,0
1,11,0,-20,-1,4,113,117,2,287,106,-174,1,-1,117,24,0,-151,151,151,46,-85,0
1,11,0,20,1,-4,-113,-117,-2,-287,-106,174,-1,1,-117,-24,0,151,-151,-151,-46,85,0
1,11,1,-20,-1,27,113,140,0,174,-59,-61,4,-2,140,47,0,0,224,0,45,-17,0
1,11,1,20,1,-27,-113,-140,0,-174,59,61,-4,2,-140,-47,0,0,-224,0,-45,17,0
1,12,0,-20,-1,-10,-38,-48,1,136,66,-174,4,-1,140,0,0,10,214,-10,-2,-70,0
1,12,0,20,1,10,38,48,-1,-136,-66,174,-4,1,-140,0,0,-10,-214,10,2,70,0
1,12,0,-20,-1,-14,-174,-188,-2,-132,307,-42,2,0,-6,0,0,6,38,-6,-214,439,0
1,12,0,20,1,14,174,188,2,132,-307,42,-2,0,6,0,0,-6,-38,6,214,-439,0
1,12,0,-20,-1,-5,-174,-179,-2,-132,-21,-42,2,0,-6,0,0,15,29,-15,-214,111,0
1,12,0,20,1,5,174,179,2,132,21,42,-2,0,6,0,0,-15,-29,15,214,-111,0
1,12,0,-20,-1,4,113,117,2,287,106,-174,1,-1,117,0,0,-151,151,151,46,-85,0
1,12,0,20,1,-4,-113,-117,-2,-287,-106,174,-1,1,-117,0,0,151,-151,-151,-46,85,0
1,12,1,-4,-1,-24,-160,-184,-1,-334,59,174,-1,1,-184,-44,0,198,-198,-198,-46,64,0
1,12,1,4,1,24,160,184,1,334,-59,-174,1,-1,184,44,0,-198,198,198,46,-64,0
1,13,0,-4,-1,-10,-38,-48,1,136,66,-174,4,-1,140,0,0,10,214,-10,-2,-70,0
1,13,0,4,1,10,38,48,-1,-136,-66,174,-4,1,-140,0,0,-10,-214,10,2,70,0
1,13,0,-4,-1,-14,-174,-188,-2,-132,307,-42,2,0,-6,0,0,6,38,-6,-214,439,0
1,13,0,4,1,14,174,188,2,132,-307,42,-2,0,6,0,0,-6,-38,6,214,-439,0
1,13,0,-4,-1,-5,-174,-179,-2,-132,-21,-42,2,0,-6,0,0,15,29,-15,-214,111,0
1,13,0,4,1,5,174,179,2,132,21,42,-2,0,6,0,0,-15,-29,15,214,-111,0
1,13,1,-4,-1,4,113,117,2,287,106,-174,1,0,184,0,0,24,174,-24,2,-85,0
1,13,1,4,1,-4,-113,-117,-2,-287,-106,174,-1,0,-184,0,0,-24,-174,24,-2,85,0
1,13,0,-4,-1,-19,204,185,2,378,-59,-174,2,0,185,1,0,-190,234,190,-214,-108,0
1,13,0,4,1,19,-204,-185,-2,-378,59,174,-2,0,-185,-1,0,190,-234,-190,214,108,0
1,14,1,-4,-1,-10,-38,-48,1,136,66,-174,4,-1,140,0,0,10,214,-10,-2,-70,0
1,14,1,4,1,10,38,48,-1,-136,-66,174,-4,1,-140,0,0,-10,-214,10,2,70,0
1,14,1,-4,-1,-14,-174,-188,-2,-132,307,-42,2,0,-6,0,0,6,38,-6,-214,439,0
1,14,1,4,1,14,174,188,2,132,-307,42,-2,0,6,0,0,-6,-38,6,214,-439,0
1,14,1,-4,-1,-5,-174,-179,-2,-132,-21,-42,2,0,-6,0,0,15,29,-15,-214,111,0
1,14,1,4,1,5,174,179,2,132,21,42,-2,0,6,0,0,-15,-29,15,214,-111,0
1,14,1,-4,-1,-19,204,185,2,378,-59,-174,2,0,185,1,0,-190,234,190,-214,-108,0
1,14,1,4,1,19,-204,-185,-2,-378,59,174,-2,0,-185,-1,0,190,-234,-190,214,108,0
1,19,1,-32,-1,-30,-58,-88,1,103,87,-161,4,-1,156,0,0,10,214,-10,-38,-153,0
1,19,1,32,1,30,58,88,-1,-103,-87,161,-4,1,-156,0,0,-10,-214,10,38,153,0
