PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,3,-1,-1,0,1,3,3,1,3,2,0,-5,1,1,1,1
0,3,1,1,0,-1,-3,-3,-1,-3,-2,0,5,1,1,1,1
0,3,-1,-1,0,-2,-81,-71,-1,3,3,0,-4,1,1,1,1
0,3,1,1,0,2,81,71,1,-3,-3,0,4,1,1,1,1
0,4,-1,-1,0,0,-82,-81,0,10,3,0,-78,1,1,1,1
0,4,1,1,0,0,82,81,0,-10,-3,0,78,1,1,1,1
0,4,-1,-1,0,0,-86,-81,0,-2,2,-6,-78,1,1,1,1
0,4,1,1,0,0,86,81,0,2,-2,6,78,1,1,1,1
0,4,-1,-1,0,0,-82,-81,2,-7,-1,0,0,1,0,0,1
0,4,1,1,0,0,82,81,-2,7,1,0,0,1,0,0,1
0,4,-1,-1,1,0,2,3,0,18,1,-3,2,0,1,1,0
0,4,1,1,1,0,-2,-3,0,-18,-1,3,-2,0,1,1,0
0,4,-1,-1,0,0,-82,-81,1,-1,3,0,-79,1,1,1,1
0,4,1,1,0,0,82,81,-1,1,-3,0,79,1,1,1,1
0,14,-1,-84,1,-1,-4,0,-1,-14,3,0,-3,0,0,1,1
0,14,1,84,1,1,4,0,1,14,-3,0,3,0,0,1,1
0,14,-1,-84,0,-1,-90,-6,-84,-33,-1,-6,-3,1,0,1,0
0,14,1,84,0,1,90,6,84,33,1,6,3,1,0,1,0
0,14,-1,-84,0,-1,0,0,-3,-2,3,-2,-84,1,0,0,1
0,14,1,84,0,1,0,0,3,2,-3,2,84,1,0,0,1
0,14,-1,-84,0,-1,-2,0,1,-13,3,-1,-3,1,0,1,1
0,14,1,84,0,1,2,0,-1,13,-3,1,3,1,0,1,1
0,14,-1,-84,0,-1,0,0,-3,-16,5,0,-84,1,0,1,1
0,14,1,84,0,1,0,0,3,16,-5,0,84,1,0,1,1
0,15,-1,-83,0,0,0,-6,0,-27,5,-6,-83,1,0,1,0
0,15,1,83,0,0,0,6,0,27,-5,6,83,1,0,1,0
0,15,-1,-83,0,0,0,0,86,12,-3,0,-2,1,0,0,1
0,15,1,83,0,0,0,0,-86,-12,3,0,2,1,0,0,1
0,15,-1,-83,1,0,-79,0,0,-14,3,0,-83,0,0,1,1
0,15,1,83,1,0,79,0,0,14,-3,0,83,0,0,1,1
0,15,-1,-83,0,0,6,0,0,8,0,0,-2,1,0,1,1
0,15,1,83,0,0,-6,0,0,-8,0,0,2,1,0,1,1
0,15,-1,-1,0,-1,0,0,-1,-5,1,0,-1,1,0,1,1
0,15,1,1,0,1,0,0,1,5,-1,0,1,1,0,1,1
0,16,-1,-83,0,0,-4,-6,0,-14,3,-6,-83,1,1,1,0
0,16,1,83,0,0,4,6,0,14,-3,6,83,1,1,1,0
0,16,-1,-83,0,0,84,0,1,15,-1,0,0,1,1,0,1
0,16,1,83,0,0,-84,0,-1,-15,1,0,0,1,1,0,1
0,16,-1,-83,1,0,84,0,0,5,1,0,-2,0,1,1,1
0,16,1,83,1,0,-84,0,0,-5,-1,0,2,0,1,1,1
0,16,-1,-1,0,-1,0,0,-1,-1,0,0,-1,1,1,1,1
0,16,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1
0,16,-1,-1,0,-1,0,2,-1,20,6,2,-1,1,0,1,1
0,16,1,1,0,1,0,-2,1,-20,-6,-2,1,1,0,1,1
