PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,3,1,-1,-1,4,149,153,149,0,153,49,-149,149,149,3,0,-158,19,-9,19
1,3,1,1,1,-4,-149,-153,-149,0,-153,-49,149,-149,-149,-3,0,158,-19,9,-19
1,4,0,-1,-1,10,0,10,0,0,10,0,0,0,0,0,0,5,0,5,0
1,4,0,1,1,-10,0,-10,0,0,-10,0,0,0,0,0,0,-5,0,-5,0
1,4,0,-1,-1,10,0,10,0,0,153,0,55,94,-55,0,1,-3,-30,-3,19
1,4,0,1,1,-10,0,-10,0,0,-153,0,-55,-94,55,0,-1,3,30,3,-19
1,4,0,-1,-1,1,0,1,0,0,1,0,0,0,0,0,0,-6,0,-6,0
1,4,0,1,1,-1,0,-1,0,0,-1,0,0,0,0,0,0,6,0,6,0
1,4,0,-1,-1,10,51,61,0,51,61,0,0,0,0,0,1,8,-40,8,11
1,4,0,1,1,-10,-51,-61,0,-51,-61,0,0,0,0,0,-1,-8,40,-8,-11
1,4,1,-1,-1,0,198,198,198,0,198,45,-198,198,198,4,0,-207,0,-9,0
1,4,1,1,1,0,-198,-198,-198,0,-198,-45,198,-198,-198,-4,0,207,0,9,0
1,5,0,-1,-1,10,0,10,0,0,0,0,10,-10,-10,0,0,5,0,5,0
1,5,0,1,1,-10,0,-10,0,0,0,0,-10,10,10,0,0,-5,0,-5,0
1,5,0,-1,-1,10,0,10,0,0,-45,0,10,-59,-10,0,0,-3,15,-3,19
1,5,0,1,1,-10,0,-10,0,0,45,0,-10,59,10,0,0,3,-15,3,-19
1,5,1,-1,-1,1,0,1,0,0,0,0,1,-1,-1,0,0,-6,0,-6,0
1,5,1,1,1,-1,0,-1,0,0,0,0,-1,1,1,0,0,6,0,6,0
1,5,0,-1,-1,10,51,61,0,51,-137,0,-45,-153,45,0,0,8,5,8,11
1,5,0,1,1,-10,-51,-61,0,-51,137,0,45,153,-45,0,0,-8,-5,-8,-11
1,6,0,-2,-1,0,-5,-5,0,-5,137,0,55,97,-55,0,1,-3,-51,-3,-11
1,6,0,2,1,0,5,5,0,5,-137,0,-55,-97,55,0,-1,3,51,3,11
1,6,0,-2,-1,-10,-5,-15,0,-5,137,0,45,107,-45,0,1,-8,-51,-8,-11
1,6,0,2,1,10,5,15,0,5,-137,0,-45,-107,45,0,-1,8,51,8,11
1,6,0,-2,-1,0,-51,-51,0,-51,92,0,55,94,-55,0,0,-11,10,-11,8
1,6,0,2,1,0,51,51,0,51,-92,0,-55,-94,55,0,0,11,-10,11,-8
