PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
2,6,2.0.98,0,510,2,52,98,150,1,0,252,98,0,3,150,239,7,0,0,469,201,252,1193
2,6,3.0.98,0,507,1,55,98,153,1,0,254,98,0,3,153,239,7,0,0,469,201,254,1193
2,6,4.0.98,0,499,0,45,98,143,1,0,254,98,0,3,143,239,7,0,0,469,201,254,1193
2,6,5.0.98,0,499,0,49,98,147,1,0,243,98,0,3,147,239,7,0,0,469,201,243,1193
2,7,1.2.147,1,499,0,45,147,192,3,147,242,0,2,2,192,239,8,-7,102,479,252,141,1144
2,7,2.0.98,0,510,2,52,98,150,1,0,252,98,0,3,150,239,8,0,0,472,201,252,1144
2,7,3.0.98,0,507,1,55,98,153,1,0,254,98,0,3,153,239,8,0,0,472,201,254,1144
2,7,4.0.98,0,499,0,45,98,143,1,0,254,98,0,3,143,239,8,0,0,472,201,254,1144
2,7,5.0.98,0,499,0,49,98,147,1,0,243,98,0,3,147,239,8,0,0,472,201,243,1144
2,8,1.3.192,1,499,0,46,192,238,4,192,242,0,3,2,238,239,9,-4,144,483,246,96,1099
2,8,2.0.98,0,510,2,52,98,150,1,0,252,98,0,3,150,239,9,0,0,479,201,252,1099
2,8,3.0.98,0,507,1,55,98,153,1,0,254,98,0,3,153,239,9,0,0,479,201,254,1099
2,8,4.0.98,0,499,0,45,98,143,1,0,254,98,0,3,143,239,9,0,0,479,201,254,1099
2,8,5.0.98,0,499,0,49,98,147,1,0,243,98,0,3,147,239,9,0,0,479,201,243,1099
2,9,1.4.239,1,499,0,50,239,289,5,238,242,1,4,2,289,289,10,0,188,483,245,50,1053
2,9,2.0.98,0,510,2,52,98,150,1,0,252,98,0,3,150,239,10,0,0,483,201,252,1053
2,9,3.0.98,0,507,1,55,98,153,1,0,254,98,0,3,153,239,10,0,0,483,201,254,1053
2,9,4.0.98,0,499,0,45,98,143,1,0,254,98,0,3,143,239,10,0,0,483,201,254,1053
2,9,5.0.98,0,499,0,49,98,147,1,0,243,98,0,3,147,239,10,0,0,483,201,243,1053
2,10,2.0.98,0,510,2,52,98,150,1,0,252,98,0,3,150,289,11,0,0,483,201,252,1003
