PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,3,0,30,1,81,0,81,0,0,81,0,0,0,0,0,0,87,0,87,0
1,3,0,-30,-1,0,56,56,0,56,56,15,0,0,0,0,1,40,40,40,96
1,3,0,30,1,0,-56,-56,0,-56,-56,-15,0,0,0,0,-1,-40,-40,-40,-96
1,3,1,-30,-1,-52,137,85,137,0,85,44,-137,137,137,3,0,-262,184,-125,184
1,3,1,30,1,52,-137,-85,-137,0,-85,-44,137,-137,-137,-3,0,262,-184,125,-184
1,4,0,-30,-1,-93,0,-93,0,0,-93,0,0,0,0,0,0,-33,0,-33,0
1,4,0,30,1,93,0,93,0,0,93,0,0,0,0,0,0,33,0,33,0
1,4,0,-30,-1,0,0,0,0,0,85,0,96,41,-96,0,1,-66,140,-66,184
1,4,0,30,1,0,0,0,0,0,-85,0,-96,-41,96,0,-1,66,-140,66,-184
1,4,0,-30,-1,-81,0,-81,0,0,-81,0,0,0,0,0,0,-87,0,-87,0
1,4,0,30,1,81,0,81,0,0,81,0,0,0,0,0,0,87,0,87,0
1,4,0,-30,-1,0,56,56,0,56,56,0,0,0,0,0,1,40,40,40,96
1,4,0,30,1,0,-56,-56,0,-56,-56,0,0,0,0,0,-1,-40,-40,-40,-96
1,4,1,-30,-1,-95,181,86,181,0,86,1,-181,181,181,4,0,-306,0,-125,0
1,4,1,30,1,95,-181,-86,-181,0,-86,-1,181,-181,-181,-4,0,306,0,125,0
1,5,0,-30,-1,-93,0,-93,0,0,0,0,-93,93,93,0,0,-33,0,-33,0
1,5,0,30,1,93,0,93,0,0,0,0,93,-93,-93,0,0,33,0,33,0
1,5,0,-30,-1,0,0,0,0,0,-1,0,0,-44,0,0,0,-66,141,-66,184
1,5,0,30,1,0,0,0,0,0,1,0,0,44,0,0,0,66,-141,66,-184
1,5,1,-30,-1,-81,0,-81,0,0,0,0,-81,81,81,0,0,-87,0,-87,0
1,5,1,30,1,81,0,81,0,0,0,0,81,-81,-81,0,0,87,0,87,0
1,5,0,-30,-1,0,56,56,0,56,-30,0,-96,-85,96,0,0,40,41,40,96
1,5,0,30,1,0,-56,-56,0,-56,30,0,96,85,-96,0,0,-40,-41,-40,-96
1,6,0,-17,-1,-93,0,-93,0,0,0,0,-93,93,93,0,0,-33,0,-33,0
1,6,0,17,1,93,0,93,0,0,0,0,93,-93,-93,0,0,33,0,33,0
1,6,0,-17,-1,0,-15,-15,0,-15,-1,0,0,-29,0,0,-1,-66,156,-66,184
1,6,0,17,1,0,15,15,0,15,1,0,0,29,0,0,1,66,-156,66,-184
1,6,1,-17,-1,-83,41,-42,15,26,-113,0,-96,-70,96,1,-1,-102,56,-87,96
1,6,1,17,1,83,-41,42,-15,-26,113,0,96,70,-96,-1,1,102,-56,87,-96
