PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
164,0,1,-11,-1,-10,0,-10,0,0,-10,-10,0,0,0,0,0,31,116,31,116
164,0,1,11,1,10,0,10,0,0,10,10,0,0,0,0,0,-31,-116,-31,-116
164,0,1,-4,-1,34,0,34,0,0,34,34,0,0,0,0,0,64,-116,64,-116
164,0,1,4,1,-34,0,-34,0,0,-34,-34,0,0,0,0,0,-64,116,-64,116
164,1,0,-24,-1,-19,0,-19,0,0,-19,0,0,0,0,0,0,82,-10,82,-10
164,1,0,24,1,19,0,19,0,0,19,0,0,0,0,0,0,-82,10,-82,10
164,1,0,-24,-1,-56,95,39,0,95,39,5,0,0,0,0,1,62,-211,62,-116
164,1,0,24,1,56,-95,-39,0,-95,-39,-5,0,0,0,0,-1,-62,211,-62,116
164,1,0,-24,-1,-33,95,62,95,0,62,28,-95,95,95,1,0,-31,-87,64,-87
164,1,0,24,1,33,-95,-62,-95,0,-62,-28,95,-95,-95,-1,0,31,87,-64,87
164,1,0,-24,-1,12,0,12,0,0,12,0,0,0,0,0,0,127,50,127,50
164,1,0,24,1,-12,0,-12,0,0,-12,0,0,0,0,0,0,-127,-50,-127,-50
164,1,1,-24,-1,24,0,24,0,0,24,0,0,0,0,0,0,95,0,95,0
