PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1501,16,4.3.266,0,713,2,62,266,328,266,0,328,352,-266,266,475,4,1,140,395,205,395,17,1619,884
1501,16,5.2.352,1,683,0,13,352,365,352,0,365,365,-4,158,213,3,5,188,104,367,298,17,1619,884
1501,17,0.3.348,0,720,2,55,348,403,348,0,403,403,-348,348,561,4,1,104,395,220,395,18,1619,871
1501,17,1.3.261,0,756,3,90,261,351,261,0,351,365,-261,261,474,4,1,129,395,246,395,18,1619,871
1501,17,2.2.365,1,683,0,91,365,456,153,212,456,456,0,158,213,3,6,184,91,203,298,18,1619,871
1501,17,3.3.239,0,683,0,59,239,298,239,0,298,365,-239,239,452,4,1,139,395,378,395,18,1619,871
1501,17,4.3.266,0,713,1,62,266,328,266,0,328,365,-266,266,479,4,1,140,395,205,395,18,1619,871
1501,17,5.3.365,0,683,0,80,365,445,365,0,445,445,-365,365,578,4,1,175,395,367,395,18,1619,871
1501,18,0.3.348,0,720,3,55,348,403,348,0,403,456,-348,348,561,4,1,104,395,220,395,19,1619,780
1501,18,1.3.261,0,756,4,90,261,351,261,0,351,456,-261,261,474,4,1,129,395,246,395,19,1619,780
1501,18,2.3.456,0,689,1,49,456,505,456,0,505,505,-456,456,669,4,1,93,395,203,395,19,1619,780
1501,18,3.3.239,1,683,0,59,239,298,239,0,298,456,-239,239,452,4,1,139,395,378,395,19,1619,780
1501,18,4.3.266,0,713,2,62,266,328,266,0,328,456,-266,266,479,4,1,140,395,205,395,19,1619,780
1501,18,5.3.365,0,683,0,80,365,445,365,0,445,456,-365,365,578,4,1,175,395,367,395,19,1619,780
1501,19,0.3.348,0,723,3,55,348,403,348,0,403,456,-50,289,502,4,2,104,336,220,395,20,1619,721
1501,19,1.3.298,0,718,2,90,298,388,261,37,388,456,0,239,452,4,2,129,336,246,395,20,1619,721
1501,19,2.3.456,0,689,1,49,456,505,456,0,505,505,-158,397,610,4,2,93,336,203,395,20,1619,721
1501,19,3.4.298,1,683,0,80,298,378,298,0,378,456,-298,298,750,5,1,80,385,378,385,20,1619,721
1501,19,4.3.298,0,683,0,62,298,360,266,32,360,456,0,239,452,4,2,140,336,205,395,20,1619,721
1501,19,5.3.365,0,683,0,80,365,445,365,0,445,456,-67,306,519,4,2,175,336,367,395,20,1619,721
1501,20,0.3.348,0,723,3,55,348,403,348,0,403,456,-50,289,800,4,2,104,336,220,395,21,1619,641
1501,20,1.3.298,0,718,2,90,298,388,261,37,388,456,0,239,750,4,2,129,336,246,395,21,1619,641
1501,20,2.3.456,0,689,1,49,456,505,456,0,505,505,-158,397,908,4,2,93,336,203,395,21,1619,641
1501,20,4.3.298,1,683,0,62,298,360,266,32,360,456,0,239,750,4,2,140,336,205,395,21,1619,641
1501,20,5.3.365,0,683,0,80,365,445,365,0,445,456,-67,306,817,4,2,175,336,367,395,21,1619,641
1501,21,0.3.360,0,683,0,55,360,415,348,12,415,456,0,239,750,4,3,104,274,220,395,22,1619,579
1501,21,1.3.360,1,718,2,90,360,450,261,99,450,456,0,239,750,4,3,129,274,246,395,22,1619,579
1501,21,2.3.456,0,689,1,49,456,505,456,0,505,505,-96,335,846,4,3,93,274,203,395,22,1619,579
1501,21,4.4.378,0,683,0,78,378,456,360,18,456,456,0,298,750,5,2,78,305,205,385,22,1619,579
1501,21,5.3.365,0,683,0,80,365,445,365,0,445,456,-5,244,755,4,3,175,274,367,395,22,1619,579
1501,22,0.3.450,0,724,1,55,450,505,348,102,505,505,0,239,750,4,4,104,184,220,395,23,1619,489
1501,22,1.4.450,0,755,3,39,450,489,450,0,489,489,-72,370,822,5,2,39,305,246,385,23,1619,489
1501,22,2.3.456,0,729,2,49,456,505,456,0,505,505,-6,245,756,4,4,93,184,203,395,23,1619,489
1501,22,4.4.378,0,718,0,78,378,456,360,18,456,456,0,298,750,5,2,78,305,205,385,23,1619,489
1501,22,5.3.450,1,718,0,80,450,530,365,85,530,530,0,239,750,4,4,175,184,367,395,23,1619,489
1501,23,0.3.530,1,718,0,55,530,585,348,182,585,585,0,239,750,4,5,104,104,220,395,24,1619,409
1501,23,1.4.450,0,755,1,39,450,489,450,0,489,530,-72,370,822,5,2,39,305,246,385,24,1619,409
1501,23,2.3.530,0,718,0,49,530,579,456,74,579,579,0,239,750,4,5,93,104,203,395,24,1619,409
1501,23,4.4.378,0,718,0,78,378,456,360,18,456,530,0,298,750,5,2,78,305,205,385,24,1619,409
1501,23,5.4.530,0,718,0,95,530,625,530,0,625,625,-152,450,902,5,2,95,305,367,385,24,1619,409
1501,24,0.4.585,0,773,2,49,585,634,585,0,634,634,-207,505,957,5,2,49,305,220,385,25,1619,354
1501,24,1.4.450,0,755,1,39,450,489,450,0,489,585,-72,370,822,5,2,39,305,246,385,25,1619,354
1501,24,2.3.585,1,718,0,49,585,634,456,129,634,634,0,239,750,4,6,93,49,203,395,25,1619,354
1501,24,4.4.378,0,718,0,78,378,456,360,18,456,585,0,298,750,5,2,78,305,205,385,25,1619,354
1501,24,5.4.530,0,718,0,95,530,625,530,0,625,625,-152,450,902,5,2,95,305,367,385,25,1619,354
1501,25,0.4.585,0,773,3,49,585,634,585,0,634,634,-207,505,957,5,2,49,305,220,385,26,1619,305
1501,25,1.4.450,0,755,2,39,450,489,450,0,489,634,-72,370,822,5,2,39,305,246,385,26,1619,305
1501,25,2.4.634,0,727,1,44,634,678,634,0,678,678,-256,554,1006,5,2,44,305,203,385,26,1619,305
1501,25,4.4.378,1,718,0,78,378,456,360,18,456,634,0,298,750,5,2,78,305,205,385,26,1619,305
1501,25,5.4.530,0,718,0,95,530,625,530,0,625,634,-152,450,902,5,2,95,305,367,385,26,1619,305
1501,26,0.4.585,0,773,2,49,585,634,585,0,634,634,-129,427,879,5,3,49,227,220,385,27,1619,227
1501,26,1.4.456,1,718,0,39,456,495,450,6,495,634,0,298,750,5,3,39,227,246,385,27,1619,227
1501,26,2.4.634,0,727,1,44,634,678,634,0,678,678,-178,476,928,5,3,44,227,203,385,27,1619,227
1501,26,5.4.530,0,718,0,95,530,625,530,0,625,634,-74,372,824,5,3,95,227,367,385,27,1619,227
1501,27,0.4.585,0,773,2,49,585,634,585,0,634,634,-90,388,840,5,4,49,188,220,385,28,1619,188
1501,27,2.4.634,0,727,1,44,634,678,634,0,678,678,-139,437,889,5,4,44,188,203,385,28,1619,188
1501,27,5.4.530,1,718,0,95,530,625,530,0,625,634,-35,333,785,5,4,95,188,367,385,28,1619,188
1501,28,0.4.625,1,718,0,49,625,674,585,40,674,674,0,333,785,5,5,49,93,220,385,29,1619,93
