PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
2,0,1.2.0,0,413,0,45,0,45,1,0,242,0,2,1,45,45,1,0,0,0,297,242,1484
2,0,2.3.0,0,413,0,45,0,45,1,0,252,0,3,1,45,45,1,0,0,0,294,252,1484
2,0,3.1.0,0,413,0,46,0,46,1,0,254,0,1,1,46,46,1,0,0,0,298,254,1484
2,0,4.2.0,0,413,0,50,0,50,1,0,254,0,2,1,50,50,1,0,0,0,297,254,1484
2,0,5.0.0,0,443,1,49,0,49,1,0,243,0,0,1,49,49,1,0,0,0,299,243,1484
2,1,0.2.46,1,413,0,45,46,91,2,46,239,0,2,1,91,91,2,-46,46,46,297,193,1438
2,1,1.2.0,0,413,0,45,0,45,1,0,242,0,2,1,45,46,2,0,0,0,297,242,1438
2,1,2.3.0,0,413,0,45,0,45,1,0,252,0,3,1,45,46,2,0,0,0,294,252,1438
2,1,3.1.0,0,413,0,46,0,46,1,0,254,0,1,1,46,46,2,0,0,0,298,254,1438
2,1,4.2.0,0,413,0,50,0,50,1,0,254,0,2,1,50,50,2,0,0,0,297,254,1438
2,1,5.0.46,0,413,0,49,46,95,1,0,243,46,0,2,95,95,2,0,0,0,253,243,1438
2,2,0.1.91,1,413,0,49,91,140,3,91,239,0,1,1,140,140,3,-91,91,137,298,148,1393
2,2,1.2.0,0,413,0,45,0,45,1,0,242,0,2,2,91,91,3,45,1,1,252,242,1393
2,2,2.3.0,0,413,0,45,0,45,1,0,252,0,3,1,45,91,3,0,0,46,294,252,1393
2,2,3.1.0,0,413,0,46,0,46,1,0,254,0,1,1,46,91,3,0,0,46,298,254,1393
2,2,4.2.91,0,413,0,50,91,141,1,0,254,91,2,2,141,141,3,0,46,46,252,254,1393
2,2,5.0.46,0,413,0,49,46,95,1,0,243,46,0,2,95,95,3,0,0,46,253,243,1393
2,3,0.3.140,1,413,0,48,140,188,4,140,239,0,3,1,188,188,4,-140,140,277,294,99,1344
2,3,1.2.0,0,413,0,45,0,45,1,0,242,0,2,2,91,140,4,45,1,92,252,242,1344
2,3,2.3.0,0,413,0,45,0,45,1,0,252,0,3,1,45,140,4,0,0,137,294,252,1344
2,3,3.1.0,0,413,0,46,0,46,1,0,254,0,1,2,140,140,4,46,45,91,249,254,1344
2,3,4.2.91,0,413,0,50,91,141,1,0,254,91,2,2,141,141,4,0,46,137,252,254,1344
2,3,5.0.46,0,413,0,49,46,95,1,0,243,46,0,2,95,140,4,0,0,137,253,243,1344
2,4,0.4.188,1,450,1,51,188,239,5,188,239,0,4,1,239,239,5,-188,188,465,296,51,1296
2,4,1.2.0,0,413,0,45,0,45,1,0,242,0,2,2,91,188,5,45,1,232,252,242,1296
2,4,2.3.0,0,413,0,45,0,45,1,0,252,0,3,2,188,188,5,45,95,232,246,252,1296
2,4,3.1.0,0,413,0,46,0,46,1,0,254,0,1,2,140,188,5,46,45,231,249,254,1296
2,4,4.2.91,0,413,0,50,91,141,1,0,254,91,2,2,141,188,5,0,46,277,252,254,1296
2,4,5.0.46,0,413,0,49,46,95,1,0,243,46,0,2,95,188,5,0,0,277,253,243,1296
