PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
1,3,-1,-2,0,-31,0,32,-31,8,7,21,0,0,1,1,0
1,3,1,2,0,31,0,-32,31,-8,-7,-21,0,0,1,1,0
1,3,-1,-2,0,5,0,27,5,7,7,23,-2,1,1,1,1
1,3,1,2,0,-5,0,-27,-5,-7,-7,-23,2,1,1,1,1
1,3,-1,-2,0,3,0,29,3,2,2,19,-2,1,1,1,1
1,3,1,2,0,-3,0,-29,-3,-2,-2,-19,2,1,1,1,1
1,4,-1,-2,0,2,0,27,2,5,1,19,-4,1,1,1,1
1,4,1,2,0,-2,0,-27,-2,-5,-1,-19,4,1,1,1,1
1,4,-1,-2,1,-31,0,0,-31,7,6,23,-4,1,0,0,1
1,4,1,2,1,31,0,0,31,-7,-6,-23,4,1,0,0,1
1,4,-1,-2,0,-31,0,32,-31,9,4,17,-4,0,1,1,0
1,4,1,2,0,31,0,-32,31,-9,-4,-17,4,0,1,1,0
1,4,-1,-2,0,5,0,27,5,7,2,9,-4,1,1,1,1
1,4,1,2,0,-5,0,-27,-5,-7,-2,-9,4,1,1,1,1
1,4,-1,-2,0,3,0,29,3,3,3,12,-4,1,1,1,1
1,4,1,2,0,-3,0,-29,-3,-3,-3,-12,4,1,1,1,1
1,5,-1,-2,1,2,0,27,2,3,3,6,-2,1,0,0,1
1,5,1,2,1,-2,0,-27,-2,-3,-3,-6,2,1,0,0,1
1,5,-1,-2,1,-31,0,32,-31,2,5,11,-2,0,0,0,0
1,5,1,2,1,31,0,-32,31,-2,-5,-11,2,0,0,0,0
1,5,-1,-2,1,5,0,27,5,7,5,6,-2,1,0,0,1
1,5,1,2,1,-5,0,-27,-5,-7,-5,-6,2,1,0,0,1
1,5,-1,-2,1,3,0,29,3,6,6,14,-2,1,0,0,1
1,5,1,2,1,-3,0,-29,-3,-6,-6,-14,2,1,0,0,1
1,6,-1,-2,1,9,0,0,-20,-4,3,4,-2,1,0,0,1
1,6,1,2,1,-9,0,0,20,4,-3,-4,2,1,0,0,1
1,6,-1,-2,0,9,0,32,9,0,2,-2,-2,0,1,1,0
